Address,URL,Title
Financial District,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-and/6312191519.html,Electrical Engineers and Building Inspectors
Financial District,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineers-and/6312188422.html,Mechanical Engineers and Building Inspectors
Staten Island,https://newyork.craigslist.org/stn/egr/d/assistant-project-manager/6312151092.html,Assistant Project Manager - General Contractor
Greenwich Village,https://newyork.craigslist.org/mnh/egr/d/project-manager-construction/6312140735.html,Project Manager - Construction Manager
Queens-Brooklyn - NYC,https://newyork.craigslist.org/mnh/egr/d/construction-renovation/6312095808.html,Construction Renovation Foreman - Super - Assistant Project Manager
Midtown,https://newyork.craigslist.org/mnh/egr/d/autocad-drafter-renderer/6311745140.html,AutoCAD Drafter/Renderer
Brooklyn,https://newyork.craigslist.org/brk/egr/d/electrical-design-engineer/6311691690.html,Electrical Design Engineer
Brooklyn,https://newyork.craigslist.org/brk/egr/d/filing-rep-class-2-for-nyc/6311488257.html,Filing rep. (class 2) For NYC dept. Of buildings
Brooklyn,https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6311486822.html,Architectural Draftsperson
Flatiron,https://newyork.craigslist.org/mnh/egr/d/entry-level-technical/6311320588.html,Entry Level Technical Designer / CAD
